n_exp,trial,rmse_fisico,rmse_cajanegra,errvol_fisico_pct,errvol_cajanegra_pct
4,0,0.016900676101381466,0.031371220970708255,10.863684604182296,20.324592232853718
4,1,0.01681458331322911,0.022399416757485704,11.323717850045261,9.939957335035727
4,2,0.04039524225219124,0.04328346789250585,46.14799858303139,
4,3,0.03308557481544748,0.02636774403778644,1.3642404925055223,6.938260177770665
4,4,0.022091074404033687,0.03490603761537662,8.273304255918216,1.6969031386399394
4,5,0.018292618381388744,0.02507733880039832,4.125572851775365,7.2216682886175425
4,6,0.01917599230186145,0.027688965090072706,7.582965577007789,15.620358223153808
4,7,0.034526374677647464,0.047802614918667344,2.585846766765253,7.232439102637354
5,0,0.033158763406444414,0.04272370660472116,16.971838621657252,10.34218303603924
5,1,0.019038923591042527,0.026876239235939663,1.5392780939523056,1.482331878467875
5,2,0.021789349346690835,0.03178377089023199,3.206452721335969,4.206937402017097
5,3,0.007334641720419755,0.011794525890223562,1.015170819453762,4.584310747427657
5,4,0.021580905375224356,0.03165733061389772,2.4287223804196807,2.8605391189469866
5,5,0.02528353603951215,0.028291692368792032,15.543087759457737,21.708035314634206
5,6,0.024532337214671265,0.03971905747293488,13.665375392508228,55.968582547935576
5,7,0.03070845144792715,0.03557732703935334,12.520616141045918,11.67306736682547
6,0,0.027054596741980328,0.031213112186203075,1.807301249159006,2.6376803698390816
6,1,0.023024626962935304,0.02727899713267915,7.557655089648314,5.8663310443521715
6,2,0.014582681350633543,0.026956486117828624,0.5175840066441746,11.158281297606083
6,3,0.01862807918008339,0.022853232331784178,4.179238968525797,1.5095798310123052
6,4,0.032874946858634166,0.03182956746861172,4.719607403442248,5.103645695592204
6,5,0.03095678430159823,0.035017346534959325,0.3175537715935704,2.5314373938486545
6,6,0.014187041949851768,0.02572981101538628,1.388762857911023,10.398536953618903
6,7,0.012895180054187546,0.030568849647590754,5.09027610866507,15.130706986312124
8,0,0.021407270912643158,0.025613981741424242,3.4579929675281997,8.668242100205667
8,1,0.015679136651654442,0.0350823852981884,0.9920042752049602,55.968582547935576
8,2,0.01014445562467065,0.013020243385238495,3.9238715212033917,7.601096242844929
8,3,0.016622247002034934,0.022580364696131658,7.252301565576342,14.862714901635519
8,4,0.027603719886394956,0.03878338102821915,1.7432537119390454,7.4736869108131225
8,5,0.018528271928664682,0.025313400994761273,11.898708306274807,15.60134312234856
8,6,0.0068837440841721794,0.01395023514112799,0.07789636879896564,3.3882648673874165
8,7,0.01707882863199542,0.017961388722025236,4.9692897815931305,8.548920227577279
10,0,0.012266720253957631,0.015563149183261306,9.383752672394682,10.786136840013842
10,1,0.014141614435973606,0.01469561497103944,5.890930828076438,6.21851946538283
10,2,0.008868340978512142,0.012536806060161167,1.1810242628690333,0.791329997777768
10,3,0.018682260011336525,0.021851511788975826,5.116955758375755,4.363530727274782
10,4,0.01362704175660585,0.029800825772945894,1.303440803534688,2.905113835807882
10,5,0.02197865145844757,0.02296320229866474,4.181653939447583,5.996357588213257
10,6,0.006424417898918803,0.019030472952347947,0.9422500097639727,6.411531421549027
10,7,0.01998725481303775,0.02368797877542243,8.225231607332294,11.509561628770818
14,0,0.020565525093448993,0.021058991102708077,9.407673192993672,10.941241795085812
14,1,0.014944174496175647,0.025231637471673226,2.254805328500091,6.733738379950302
14,2,0.005082916506265308,0.005225439678912574,1.5952803404589666,2.4399518317537408
14,3,0.018867427117579952,0.025314701353754097,3.4551834207583836,6.785716220711143
14,4,0.008371914605160999,0.026725635152436717,3.9232624678957757,11.745781463849523
14,5,0.012665288642086403,0.018514479270531053,7.149118241254677,4.89790318554343
14,6,0.005873548451607894,0.007584968631314006,0.5839453405711758,1.3072994242184768
14,7,0.013753947380900019,0.02623423429551836,3.9944747353070666,2.4478591253440802
